,Amount.Requested,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,Home.Ownership_OWN,Home.Ownership_RENT,Employment.Length.NaN
25,22000.0,14.65,1.0,1308,29.26,26,3912.0,707,8.0,21633.0,0.0,10.0,0,0,0
26,18000.0,24.89,1.0,29,14.88,42,4000.0,667,10.0,7377.0,3.0,8.0,0,1,0
27,12000.0,8.9,0.0,1308,12.06,31,5000.0,717,11.0,14717.0,0.0,4.0,0,1,0
28,24000.0,7.62,0.0,152,14.22,33,6833.33,762,8.0,11058.0,0.0,10.0,0,0,0
29,5000.0,12.12,0.0,444,11.08,28,1833.33,687,7.0,5408.0,0.0,10.0,0,1,0
30,6500.0,11.89,0.0,1308,8.57,28,1750.0,722,8.0,9317.0,1.0,6.0,0,1,0
31,4000.0,11.49,0.0,200,13.98,41,4700.0,697,7.0,19310.0,3.0,10.0,0,0,1
32,16000.0,16.82,0.0,444,20.3,39,6250.0,667,18.0,30772.0,5.0,1.0,0,0,0
33,7300.0,7.88,0.0,444,11.78,10,3090.5,737,5.0,13459.0,0.0,7.0,0,1,0
34,25000.0,15.58,1.0,87,0.6,5,5666.67,787,2.0,0.0,4.0,10.0,0,0,0
35,19400.0,23.28,1.0,444,9.3,26,6000.0,662,5.0,28921.0,0.0,10.0,0,0,0
36,11625.0,15.8,0.0,1308,31.12,33,2860.0,682,14.0,8374.0,2.0,7.0,0,1,0
37,10000.0,12.12,0.0,1308,12.46,5,4375.0,697,7.0,11070.0,0.0,5.0,0,0,0
38,24000.0,6.54,0.0,1308,5.62,32,9583.33,757,9.0,22725.0,2.0,3.0,0,0,0
39,3000.0,11.14,0.0,87,1.7,31,7750.0,687,7.0,874.0,0.0,10.0,0,0,0
40,19000.0,11.71,1.0,444,13.79,28,4791.67,732,9.0,16348.0,0.0,5.0,0,0,0
41,2500.0,15.31,0.0,152,22.81,41,2530.0,672,7.0,5276.0,6.0,0.0,0,1,0
42,12000.0,12.12,0.0,1308,14.66,10,5000.0,712,11.0,13235.0,2.0,2.0,0,0,0
43,17350.0,13.55,0.0,1308,18.52,27,3666.67,677,8.0,18966.0,2.0,6.0,1,0,0
44,24000.0,13.61,1.0,1308,10.77,32,7750.0,717,11.0,2594.0,2.0,5.0,0,0,0
45,21000.0,14.27,1.0,1308,11.27,11,5333.33,712,8.0,19431.0,0.0,8.0,0,0,0
46,12000.0,13.11,0.0,444,6.1,14,4833.33,667,9.0,12025.0,0.0,9.0,0,0,0
47,5000.0,8.63,0.0,1308,1.92,28,2600.0,732,13.0,814.0,0.0,8.0,0,1,0
48,5000.0,9.32,0.0,152,3.89,22,2083.33,777,4.0,3901.0,2.0,4.0,0,0,0
49,20000.0,11.99,1.0,1308,20.24,14,4500.0,742,15.0,26424.0,0.0,10.0,0,0,0
50,12000.0,16.89,1.0,87,15.24,32,7500.0,677,14.0,28589.0,2.0,3.0,0,0,0
51,8000.0,17.27,0.0,1308,27.88,14,2833.33,672,10.0,9926.0,3.0,6.0,0,1,0
52,1900.0,7.29,0.0,200,23.05,10,2208.33,727,11.0,8508.0,1.0,3.0,0,1,0
53,23300.0,23.83,1.0,1308,33.56,11,13666.67,662,15.0,72774.0,1.0,9.0,0,0,0
54,8400.0,15.45,0.0,1308,15.71,20,7083.33,642,7.0,14578.0,3.0,0.0,0,1,0
55,8000.0,14.09,0.0,1308,21.0,28,3500.0,677,12.0,7498.0,0.0,1.0,1,0,0
56,10000.0,12.12,0.0,1308,19.58,5,6250.0,697,17.0,16348.0,0.0,5.0,0,1,0
57,1600.0,13.11,0.0,1308,18.99,43,3459.0,672,9.0,6281.0,3.0,10.0,0,0,0
58,7200.0,15.8,0.0,1308,25.32,10,3333.33,677,13.0,8903.0,1.0,6.0,0,0,0
59,15000.0,17.77,0.0,1308,13.34,10,4333.33,672,9.0,17264.0,0.0,10.0,0,0,0
60,15400.0,16.32,1.0,20,15.17,41,6500.0,697,11.0,9989.0,1.0,4.0,0,1,0
61,15000.0,17.27,0.0,1308,33.3,46,3000.0,672,20.0,15092.0,0.0,10.0,0,1,0
62,12000.0,9.88,0.0,15,5.16,32,3333.33,757,7.0,1117.0,3.0,3.0,0,0,0
63,21000.0,18.75,1.0,152,11.31,31,10250.0,697,12.0,38820.0,0.0,10.0,0,0,0
64,6000.0,10.0,0.0,101,8.74,10,15416.67,717,9.0,105730.0,1.0,10.0,0,0,0
65,12000.0,6.62,0.0,152,4.81,31,9833.33,792,15.0,5584.0,2.0,10.0,0,0,0
66,7000.0,6.91,0.0,21,21.23,5,3000.0,717,12.0,10784.0,1.0,5.0,0,1,0
67,5000.0,8.9,0.0,444,15.93,35,6666.67,707,10.0,12307.0,0.0,7.0,0,0,0
68,10000.0,13.11,0.0,1308,18.96,5,8744.26,682,16.0,27086.0,0.0,0.0,0,1,0
69,5000.0,16.7,0.0,200,2.67,10,3000.0,692,4.0,2474.0,8.0,1.0,0,1,0
70,12000.0,6.91,0.0,1308,17.92,43,5200.0,712,16.0,8182.0,0.0,0.0,0,1,0
71,5000.0,15.99,0.0,1308,5.26,2,2416.67,667,5.0,1620.0,0.0,6.0,0,0,0
72,16000.0,15.31,0.0,1308,19.92,19,6000.0,692,11.0,10915.0,1.0,7.0,0,1,0
73,16000.0,17.27,1.0,101,19.26,20,7000.0,697,7.0,5231.0,1.0,10.0,0,1,0
74,10000.0,6.62,0.0,1308,24.24,14,3750.0,767,9.0,1623.0,0.0,2.0,0,1,0
75,10000.0,9.76,0.0,1308,18.31,28,2916.67,727,6.0,5670.0,1.0,10.0,0,1,0
76,20500.0,12.12,0.0,444,30.95,30,4333.33,707,14.0,33294.0,0.0,10.0,0,0,0
77,21000.0,19.22,1.0,444,13.87,14,6000.0,682,10.0,17008.0,1.0,10.0,0,0,0
78,24375.0,13.99,0.0,1308,13.64,35,11500.0,697,16.0,35461.0,0.0,10.0,0,0,0
79,7000.0,7.4,0.0,444,8.89,4,3352.0,772,14.0,14014.0,2.0,0.0,0,0,0
80,20000.0,8.9,0.0,1308,14.9,37,6541.67,737,14.0,14272.0,2.0,0.0,0,0,0
81,18000.0,10.16,0.0,1308,16.71,31,6666.67,687,16.0,19850.0,1.0,6.0,0,0,0
82,5000.0,9.63,0.0,15,11.81,4,9166.67,732,16.0,23658.0,2.0,10.0,0,0,0
83,18000.0,11.71,0.0,1308,10.34,4,3540.0,702,8.0,14960.0,0.0,0.0,0,1,0
84,5875.0,7.9,0.0,200,14.75,30,5416.67,722,15.0,2617.0,2.0,4.0,0,1,0
85,12000.0,12.12,0.0,1308,26.96,5,3833.33,692,15.0,6038.0,0.0,4.0,0,1,0
86,5000.0,13.48,0.0,15,11.21,10,3800.0,712,4.0,1575.0,4.0,3.0,0,1,0
87,14000.0,14.79,1.0,200,8.37,21,6166.67,712,5.0,2697.0,2.0,0.0,0,1,0
88,5000.0,15.31,0.0,1308,17.37,11,1750.0,677,3.0,10361.0,0.0,0.0,0,1,0
89,5000.0,5.42,0.0,39,23.15,32,2833.33,752,7.0,4573.0,0.0,3.0,0,1,0
90,10000.0,17.27,0.0,444,21.84,21,2916.67,667,18.0,21245.0,0.0,10.0,0,0,0
91,20000.0,7.9,0.0,444,1.3,14,10400.0,752,5.0,6969.0,0.0,1.0,0,1,0
92,19000.0,9.76,0.0,1308,16.43,10,3833.33,727,10.0,22033.0,1.0,7.0,0,1,0
93,15000.0,11.14,0.0,444,15.51,11,8750.0,692,9.0,15207.0,0.0,10.0,0,0,0
94,3000.0,11.49,0.0,1308,9.22,5,4900.0,692,6.0,3996.0,1.0,10.0,0,1,0
95,2500.0,7.68,0.0,101,17.59,34,3666.67,787,6.0,406.0,0.0,10.0,0,0,0
96,5500.0,15.99,1.0,1308,17.95,36,4250.0,702,16.0,13256.0,0.0,10.0,0,1,0
97,4800.0,5.79,0.0,50,11.71,28,2800.0,737,6.0,9228.0,0.0,3.0,0,1,0
98,34500.0,6.62,0.0,87,16.46,5,10000.0,807,9.0,5317.0,0.0,9.0,0,0,0
99,10000.0,12.12,0.0,1308,20.16,5,5833.33,697,16.0,25687.0,0.0,4.0,0,1,0
100,4800.0,19.99,0.0,1308,20.44,29,2500.0,662,4.0,21514.0,1.0,10.0,0,0,1
101,16000.0,13.85,0.0,1308,12.5,14,6750.0,687,12.0,6799.0,2.0,7.0,0,1,0
102,15000.0,7.88,0.0,444,3.9,32,10000.0,757,8.0,6055.0,2.0,5.0,0,1,0
103,10000.0,9.91,0.0,444,14.98,43,5000.0,712,8.0,16908.0,0.0,10.0,0,1,0
104,15000.0,7.9,0.0,444,21.54,31,5000.0,732,8.0,21555.0,0.0,2.0,1,0,0
105,7000.0,10.36,0.0,101,13.94,5,5000.0,692,5.0,1364.0,2.0,10.0,0,1,0
106,20950.0,15.8,0.0,1308,15.71,19,12916.67,692,8.0,30188.0,1.0,4.0,0,0,0
107,13000.0,6.62,0.0,50,5.95,28,11666.67,752,16.0,11451.0,1.0,7.0,0,0,0
108,7500.0,5.42,0.0,152,22.26,32,2583.33,787,11.0,2160.0,0.0,10.0,0,0,0
109,15000.0,14.33,0.0,1308,33.42,4,4500.0,677,20.0,13369.0,0.0,0.0,0,1,0
110,3000.0,17.44,0.0,200,15.79,20,7952.0,662,4.0,12578.0,0.0,8.0,0,1,0
111,6000.0,17.77,0.0,444,32.76,21,1666.67,667,12.0,15055.0,2.0,0.0,1,0,0
112,14400.0,6.62,0.0,152,6.71,10,12500.0,772,6.0,1280.0,0.0,10.0,0,0,0
113,14675.0,7.9,0.0,1308,17.4,31,3166.67,722,7.0,22549.0,0.0,10.0,0,0,0
114,5000.0,8.49,0.0,1308,22.53,43,3000.0,722,9.0,3388.0,2.0,10.0,0,0,0
115,24000.0,12.69,0.0,200,19.53,22,4583.33,712,5.0,21377.0,0.0,5.0,0,1,0
116,24000.0,15.8,1.0,1308,16.73,26,7500.0,667,10.0,24126.0,0.0,7.0,0,0,0
117,8000.0,19.05,0.0,1308,2.83,31,3333.33,662,4.0,2832.0,0.0,10.0,0,1,1
118,24500.0,11.83,0.0,20,13.42,31,12500.0,812,10.0,346.0,0.0,10.0,1,0,0
119,25000.0,14.33,0.0,444,27.88,29,5416.67,712,11.0,18460.0,2.0,10.0,1,0,0
120,20000.0,8.9,0.0,444,10.79,14,12083.33,682,8.0,25672.0,0.0,1.0,0,1,0
121,25000.0,20.5,0.0,444,14.72,10,7301.58,672,18.0,21675.0,0.0,4.0,0,1,0
122,35000.0,21.0,0.0,1308,11.05,18,7702.0,672,8.0,11346.0,0.0,10.0,0,0,0
123,3600.0,12.87,0.0,1308,1.58,28,6333.0,692,6.0,12135.0,3.0,0.0,0,0,0
124,24000.0,12.12,0.0,1308,29.01,20,7500.0,672,12.0,14804.0,1.0,0.0,0,0,0
125,15000.0,14.65,1.0,444,17.21,28,4583.33,732,4.0,13115.0,1.0,8.0,0,1,0
126,11200.0,21.74,1.0,1308,6.3,31,5583.33,662,12.0,7952.0,2.0,10.0,0,1,0
127,10000.0,19.05,0.0,200,17.95,37,3750.0,677,10.0,7034.0,1.0,6.0,0,0,0
128,30000.0,17.77,0.0,200,9.41,22,10192.0,712,12.0,24188.0,0.0,0.0,0,1,0
129,3200.0,12.86,0.0,200,14.77,35,2824.0,672,6.0,3318.0,1.0,7.0,0,1,0
130,8000.0,14.33,0.0,21,4.48,39,6250.0,672,8.0,14607.0,0.0,1.0,0,1,0
131,16000.0,7.9,0.0,1308,2.23,5,7083.33,742,11.0,3076.0,0.0,5.0,0,0,0
132,7000.0,15.31,0.0,444,15.64,6,2666.67,672,11.0,11529.0,0.0,5.0,0,1,0
133,3000.0,7.9,0.0,444,22.03,35,5583.33,707,15.0,12968.0,0.0,3.0,0,0,0
134,6000.0,15.96,0.0,444,22.1,21,5583.33,667,9.0,36748.0,3.0,5.0,0,1,0
135,14400.0,10.74,0.0,1308,5.9,5,6833.33,702,15.0,10017.0,0.0,10.0,0,0,0
136,11700.0,7.66,0.0,1308,12.13,23,4583.33,747,13.0,26769.0,1.0,10.0,0,0,0
137,12000.0,17.99,0.0,1308,17.37,7,3666.67,672,10.0,7393.0,0.0,7.0,0,0,0
138,11500.0,11.14,0.0,1308,10.47,2,2916.67,702,6.0,9562.0,0.0,0.0,0,1,0
139,18000.0,23.28,1.0,1308,9.05,44,7083.33,662,6.0,13106.0,0.0,10.0,0,1,0
140,25000.0,18.64,1.0,1308,14.61,30,5833.33,697,8.0,13785.0,0.0,10.0,0,0,0
141,6000.0,7.9,0.0,20,6.68,31,10416.67,712,9.0,20592.0,0.0,10.0,0,1,0
142,5000.0,18.39,0.0,21,13.71,28,8125.0,677,5.0,29602.0,0.0,10.0,0,1,0
143,8500.0,6.03,0.0,152,12.33,23,6100.0,747,17.0,6370.0,0.0,10.0,0,0,0
144,10000.0,7.62,0.0,30,13.26,22,7416.67,737,12.0,16297.0,2.0,10.0,0,0,0
145,16500.0,12.23,1.0,152,6.41,19,5833.33,717,8.0,30455.0,2.0,0.0,0,0,0
146,16550.0,17.27,0.0,1308,32.56,22,4333.33,677,15.0,12163.0,1.0,10.0,0,0,0
147,2500.0,14.09,0.0,30,20.95,31,2666.67,667,9.0,15787.0,0.0,10.0,0,1,1
148,10000.0,9.88,0.0,1308,17.04,17,4500.0,732,8.0,6948.0,2.0,4.0,0,0,0
149,5000.0,7.51,0.0,1308,9.53,6,4333.33,757,5.0,1825.0,1.0,7.0,0,0,0
150,6000.0,10.75,0.0,1308,12.05,28,6000.0,722,14.0,25090.0,4.0,10.0,0,1,0
151,8000.0,6.03,0.0,1308,4.51,34,3500.0,817,9.0,6737.0,0.0,10.0,0,0,0
152,12000.0,13.11,0.0,1308,17.51,37,9666.67,682,12.0,17226.0,0.0,5.0,0,0,0
153,13250.0,7.9,0.0,1308,22.64,6,2500.0,742,7.0,12957.0,0.0,0.0,0,1,0
154,12000.0,10.38,1.0,444,16.98,10,3791.67,782,10.0,59495.0,1.0,10.0,0,0,0
155,5200.0,13.99,0.0,1308,23.18,5,5000.0,682,17.0,28118.0,2.0,5.0,0,0,0
156,10000.0,13.11,0.0,1308,18.72,6,4625.0,687,13.0,7411.0,0.0,2.0,0,1,0
157,11700.0,7.9,0.0,152,5.63,5,3320.83,722,11.0,14301.0,0.0,10.0,0,0,0
158,6000.0,7.14,0.0,1308,8.91,7,4500.0,762,10.0,4561.0,1.0,10.0,0,0,0
159,20000.0,15.99,1.0,87,16.16,14,3750.0,702,9.0,19872.0,1.0,0.0,0,0,0
160,2000.0,12.42,0.0,39,1.99,31,2518.75,677,5.0,985.0,0.0,7.0,0,1,0
161,4500.0,5.99,0.0,1308,21.46,31,3644.83,767,8.0,1058.0,2.0,0.0,0,1,0
162,20800.0,19.22,1.0,444,15.5,39,6916.67,682,20.0,28764.0,1.0,10.0,0,1,0
163,8500.0,9.76,0.0,1308,6.58,5,5333.33,707,10.0,3432.0,0.0,10.0,0,0,0
164,24500.0,19.03,1.0,1308,23.02,20,4497.0,682,13.0,18906.0,0.0,10.0,0,1,0
165,2000.0,11.12,0.0,200,20.5,31,6833.33,707,19.0,20653.0,5.0,5.0,0,0,0
166,14400.0,12.69,1.0,1308,16.06,11,6250.0,732,6.0,28675.0,1.0,7.0,0,1,0
167,4800.0,12.42,0.0,1308,17.98,40,4500.0,672,9.0,30895.0,0.0,10.0,0,0,0
168,8325.0,15.31,0.0,1308,15.22,31,2916.67,672,13.0,7171.0,0.0,4.0,0,1,0
169,6600.0,9.07,0.0,200,1.84,10,2667.0,742,16.0,4889.0,1.0,0.0,1,0,0
170,7750.0,20.49,0.0,444,9.0,5,2000.0,662,3.0,5399.0,0.0,5.0,0,0,0
171,6000.0,14.09,0.0,444,22.5,40,2666.67,672,18.0,5955.0,0.0,10.0,0,1,0
172,18000.0,17.99,0.0,1308,20.18,43,6916.67,667,15.0,23786.0,0.0,10.0,0,1,0
173,12000.0,10.65,0.0,1308,26.06,11,5833.33,722,15.0,24893.0,3.0,10.0,0,1,0
174,10000.0,15.8,0.0,1308,13.1,1,4458.33,677,7.0,6413.0,1.0,0.0,0,0,0
175,19500.0,20.5,0.0,1308,2.93,43,9250.0,677,5.0,8915.0,1.0,10.0,0,0,0
176,7000.0,17.27,0.0,200,18.38,31,2464.37,667,9.0,7089.0,0.0,3.0,1,0,0
177,7300.0,6.62,0.0,444,20.11,11,3416.67,732,14.0,23030.0,0.0,4.0,0,0,0
178,27050.0,17.27,1.0,444,27.59,43,5025.0,707,13.0,40037.0,1.0,10.0,0,0,0
179,15000.0,13.85,0.0,200,5.1,31,3000.0,707,4.0,5936.0,1.0,3.0,0,1,0
180,8800.0,7.51,0.0,200,20.73,35,4833.0,792,6.0,306.0,4.0,5.0,0,0,0
181,7000.0,7.9,0.0,39,20.72,7,6000.0,717,9.0,6659.0,0.0,0.0,0,1,0
182,35000.0,21.98,1.0,1308,23.81,5,11500.0,692,14.0,21977.0,1.0,2.0,0,0,0
183,8500.0,15.8,0.0,1308,17.4,21,2500.0,692,6.0,6491.0,1.0,1.0,0,1,0
184,15000.0,10.38,0.0,1308,16.87,14,6312.0,737,17.0,14339.0,2.0,2.0,0,0,0
185,11000.0,6.03,0.0,1308,12.04,26,5836.67,792,12.0,420.0,0.0,0.0,0,0,0
186,3500.0,15.81,0.0,1308,13.14,3,18333.33,667,8.0,11107.0,2.0,7.0,0,0,0
187,6000.0,12.12,0.0,39,21.21,11,3333.33,687,8.0,4638.0,0.0,2.0,0,1,0
188,5000.0,16.29,1.0,200,11.8,41,5416.67,692,7.0,8745.0,1.0,4.0,0,1,0
189,21200.0,18.49,0.0,444,30.62,5,4500.0,677,15.0,17250.0,0.0,10.0,0,1,0
190,35000.0,15.31,0.0,1308,19.59,35,7500.0,697,11.0,29953.0,2.0,1.0,0,0,0
191,4800.0,18.75,1.0,200,27.69,39,1560.0,682,9.0,6563.0,0.0,0.0,0,1,0
192,8500.0,6.62,0.0,1308,4.9,5,4166.67,742,8.0,7114.0,0.0,10.0,0,0,0
193,2650.0,7.49,0.0,1308,21.11,45,1482.92,727,15.0,1808.0,2.0,4.0,1,0,0
194,8575.0,15.8,0.0,1308,34.41,17,4541.67,677,15.0,5180.0,1.0,10.0,0,0,0
195,5000.0,14.22,0.0,200,18.73,5,8583.0,672,9.0,8097.0,1.0,1.0,0,0,0
196,13200.0,15.31,0.0,1308,8.61,17,3333.33,682,10.0,5400.0,3.0,10.0,0,0,0
197,10750.0,14.09,0.0,200,26.14,32,2666.67,722,3.0,9800.0,0.0,8.0,0,1,0
198,5450.0,13.11,0.0,30,25.91,2,3500.0,672,9.0,7619.0,0.0,1.0,0,1,0
199,10000.0,13.11,0.0,444,3.01,31,9166.67,662,5.0,10079.0,1.0,6.0,0,0,0
200,7500.0,13.17,0.0,200,1.03,7,8750.0,677,3.0,3607.0,4.0,6.0,0,0,0
201,2400.0,8.9,0.0,1308,11.23,26,2333.33,707,8.0,2075.0,0.0,4.0,0,1,0
202,15300.0,11.14,0.0,1308,11.31,32,6833.33,672,11.0,7106.0,2.0,10.0,0,0,0
203,14000.0,6.03,0.0,1308,9.0,14,8733.33,772,11.0,15108.0,0.0,6.0,0,0,0
204,17325.0,17.27,1.0,1308,30.24,5,3750.0,707,13.0,31362.0,1.0,9.0,0,1,0
205,5400.0,16.29,0.0,30,20.03,11,2666.67,662,9.0,11114.0,1.0,1.0,0,1,0
206,14000.0,16.77,0.0,444,9.67,10,12083.33,672,13.0,28318.0,0.0,0.0,0,0,0
207,19125.0,18.25,1.0,200,15.69,5,3333.33,692,8.0,7858.0,0.0,5.0,1,0,0
208,18000.0,11.89,0.0,1308,22.3,32,6000.0,747,16.0,23518.0,2.0,9.0,0,0,0
209,15000.0,19.04,1.0,1308,16.69,5,5250.0,682,7.0,8615.0,1.0,2.0,0,1,0
210,10000.0,17.77,0.0,39,30.4,31,2500.0,667,5.0,8379.0,0.0,8.0,1,0,0
211,19075.0,18.75,0.0,1308,15.23,31,5166.67,672,17.0,13749.0,3.0,10.0,0,1,0
212,25000.0,10.08,0.0,152,10.42,19,7916.67,757,23.0,16386.0,0.0,4.0,0,0,0
213,5600.0,8.59,0.0,444,8.34,28,3250.0,737,9.0,2639.0,1.0,5.0,0,0,0
214,2500.0,6.76,0.0,1308,6.99,44,4750.0,757,15.0,4658.0,2.0,4.0,0,0,0
215,10400.0,17.58,1.0,87,8.93,5,7110.42,727,8.0,856.0,0.0,10.0,0,1,0
216,19750.0,16.29,0.0,200,4.68,10,8333.33,702,9.0,11383.0,0.0,0.0,0,0,0
217,15000.0,11.71,0.0,1308,20.7,31,5416.67,707,20.0,25464.0,0.0,4.0,1,0,0
218,7200.0,18.75,0.0,1308,16.21,21,8333.33,662,8.0,28916.0,0.0,10.0,0,1,0
219,16450.0,15.31,0.0,1308,11.66,32,6666.67,687,8.0,12697.0,3.0,9.0,0,0,0
220,10000.0,19.05,1.0,1308,28.39,10,3726.67,697,23.0,10067.0,2.0,5.0,0,1,0
221,11325.0,12.12,0.0,200,8.61,39,2833.33,727,3.0,9137.0,0.0,10.0,0,1,0
222,5000.0,6.92,0.0,152,10.59,39,7083.33,757,9.0,0.0,3.0,1.0,0,0,0
223,10050.0,14.33,0.0,444,16.48,5,2500.0,692,7.0,13337.0,2.0,0.0,0,1,0
224,14725.0,19.41,0.0,101,2.14,41,18333.33,662,11.0,82265.0,2.0,1.0,1,0,0
225,9000.0,10.16,0.0,1308,3.98,20,6000.0,707,6.0,5659.0,0.0,7.0,0,0,0
226,6000.0,15.31,0.0,200,20.05,7,4891.67,672,17.0,10391.0,2.0,3.0,1,0,0
227,7500.0,7.9,0.0,101,11.79,20,2916.67,822,2.0,349.0,0.0,1.0,1,0,0
228,24000.0,14.33,0.0,444,25.49,11,11208.33,727,23.0,19428.0,2.0,10.0,0,0,0
229,20000.0,11.49,0.0,1308,8.84,31,7500.0,717,11.0,8848.0,0.0,10.0,0,1,0
230,16750.0,7.88,0.0,1308,20.7,39,3778.67,747,9.0,22352.0,0.0,10.0,0,0,0
231,4325.0,10.16,0.0,1308,1.79,11,11000.0,717,9.0,75.0,3.0,10.0,0,0,1
232,10075.0,15.81,1.0,1308,23.8,9,6583.33,702,15.0,13259.0,1.0,1.0,0,0,0
233,4800.0,16.82,1.0,20,14.84,31,4008.33,662,18.0,8828.0,0.0,8.0,0,1,0
234,10800.0,8.0,0.0,152,6.82,5,11250.0,792,7.0,10232.0,2.0,0.0,0,0,0
235,35000.0,17.99,1.0,152,6.39,27,14000.0,717,7.0,3936.0,0.0,10.0,0,0,0
236,9000.0,6.62,0.0,200,16.14,25,3333.33,742,10.0,8689.0,0.0,6.0,0,1,0
237,8400.0,5.99,0.0,444,8.7,39,3000.0,752,6.0,6215.0,0.0,2.0,1,0,0
238,7000.0,12.12,0.0,1308,12.49,19,5166.67,677,12.0,10513.0,0.0,6.0,0,1,0
239,8400.0,13.67,0.0,444,17.0,39,4583.33,697,14.0,20318.0,2.0,5.0,0,1,0
240,12000.0,7.9,0.0,444,13.18,28,5833.33,727,8.0,9866.0,0.0,4.0,1,0,0
241,23500.0,19.22,0.0,444,20.37,43,6800.0,672,17.0,31812.0,3.0,2.0,0,1,0
242,10000.0,15.31,0.0,444,27.71,5,3750.0,682,19.0,19385.0,1.0,3.0,0,1,0
243,15000.0,16.29,0.0,444,10.67,5,5000.0,667,14.0,13611.0,0.0,4.0,0,1,0
244,6200.0,18.64,1.0,444,10.61,43,4250.0,672,9.0,5936.0,3.0,9.0,0,0,0
245,16000.0,13.43,1.0,101,6.8,5,5000.0,747,10.0,1132.0,2.0,0.0,0,0,0
246,8800.0,9.63,0.0,39,4.89,11,5479.0,757,5.0,6055.0,0.0,6.0,0,0,0
247,20000.0,11.97,0.0,200,18.96,16,7501.0,707,17.0,17212.0,7.0,1.0,0,0,0
248,10000.0,13.11,0.0,444,7.23,40,3333.33,702,6.0,10793.0,2.0,1.0,0,0,0
249,20000.0,10.75,0.0,1308,11.37,31,8416.67,742,10.0,12283.0,0.0,3.0,0,1,0
250,2875.0,18.49,0.0,444,14.11,4,1084.0,667,3.0,3824.0,0.0,10.0,0,1,1
251,5500.0,18.67,1.0,1308,17.71,31,1750.0,662,6.0,4492.0,6.0,2.0,0,1,0
252,4000.0,6.03,0.0,50,13.03,5,2916.67,752,7.0,2860.0,0.0,5.0,0,1,0
253,16000.0,14.09,0.0,1308,2.85,5,3333.33,692,6.0,3909.0,0.0,7.0,0,0,0
254,27825.0,23.76,1.0,1308,12.86,5,6250.0,667,16.0,27093.0,1.0,4.0,0,1,0
255,12250.0,19.03,1.0,1308,23.18,39,6550.0,662,15.0,22493.0,0.0,3.0,0,0,0
